"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link"
"de Oliveira J.M.; Munoz R.; Ribeiro S.; Wu W.; de Albuquerque V.H.C.","de Oliveira, Juliana M. (57190029155); Munoz, Roberto (57192589742); Ribeiro, Sidarta (7102629648); Wu, Wanqing (59307057300); de Albuquerque, Victor Hugo C. (56962603300)","57190029155; 57192589742; 7102629648; 59307057300; 56962603300","Retraction Note: REHAB FUN: an assistive technology in neurological motor disorders rehabilitation of children with cerebral palsy (Neural Computing and Applications, (2020), 32, 15, (10957-10970), 10.1007/s00521-019-04059-2)","2024","Neural Computing and Applications","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201684455&doi=10.1007%2fs00521-024-10356-2&partnerID=40&md5=6ef57ce13e3d6ec54e7fbb7489ef9d24"
"Pinheiro D.N.; Gonzalez J.C.; Corso G.; Gebre M.G.; da Costa C.A.N.; Xavier-de-Souza S.; Barros T.","Pinheiro, Daniel N. (57194534817); Gonzalez, Jaime C. (59169998400); Corso, Gilberto (56250847700); Gebre, Mesay Geletu (57747394200); da Costa, Carlos A.N. (57220528638); Xavier-de-Souza, Samuel (59170006300); Barros, Tiago (57212082760)","57194534817; 59169998400; 56250847700; 57747394200; 57220528638; 59170006300; 57212082760","Hyperparameter determination for GAN-based seismic interpolator with variable neighborhood search","2024","Computers and Geosciences","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200917546&doi=10.1016%2fj.cageo.2024.105689&partnerID=40&md5=7b00274dc7b4665ae764e69b8750cc3b"
"Azevedo K.S.; de Souza L.C.; Coutinho M.G.F.; de M. Barbosa R.; Fernandes M.A.C.","Azevedo, Karolayne S. (58139278100); de Souza, Luísa C. (58139496100); Coutinho, Maria G. F. (57208260908); de M. Barbosa, Raquel (59204729200); Fernandes, Marcelo A. C. (7202947679)","58139278100; 58139496100; 57208260908; 59204729200; 7202947679","Deepvirusclassifier: a deep learning tool for classifying SARS-CoV-2 based on viral subtypes within the coronaviridae family","2024","BMC Bioinformatics","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197484262&doi=10.1186%2fs12859-024-05754-1&partnerID=40&md5=5e567a88dc1c47c45f28f9efeb54eb93"
"Papaiz F.; Dourado M.E.T., Jr.; de Medeiros Valentim R.A.; Pinto R.; de Morais A.H.F.; Arrais J.P.","Papaiz, Fabiano (57695367300); Dourado, Mario Emílio Teixeira (6701796974); de Medeiros Valentim, Ricardo Alexsandro (26321565600); Pinto, Rafael (58945646900); de Morais, Antônio Higor Freire (57609923400); Arrais, Joel Perdiz (18036537200)","57695367300; 6701796974; 26321565600; 58945646900; 57609923400; 18036537200","Ensemble-imbalance-based classification for amyotrophic lateral sclerosis prognostic prediction: identifying short-survival patients at diagnosis","2024","BMC Medical Informatics and Decision Making","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188052696&doi=10.1186%2fs12911-024-02484-5&partnerID=40&md5=7e57b26f43b8e18c62e4f9a21800b6c1"
"Ribeiro R.L.A.; Alves D.K.; de Sousa R.P.R.; Oliveira A.C.","Ribeiro, Ricardo Lucio Araujo (59301508300); Alves, Denis Keuton (56597608500); de Sousa, Reuben Palmer Rezende (56597575400); Oliveira, Alexandre Cunha (56217841500)","59301508300; 56597608500; 56597575400; 56217841500","Online condition monitoring for DC-link capacitors of three-level NPC converters using noninvasive signal injection","2024","Computers and Electrical Engineering","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202290255&doi=10.1016%2fj.compeleceng.2024.109577&partnerID=40&md5=8a67e9f06a61fcdabbddf37839852b31"
"Machado M.O.; Fernandes I.F.D.C.; Maia S.M.D.M.; Goldbarg E.F.G.","Machado, Murilo Oliveira (57197830032); Fernandes, Islame Felipe da Costa (57212227502); Maia, Silvia Maria Diniz Monteiro (55781382000); Goldbarg, Elizabeth Ferreira Gouvêa (14033766000)","57197830032; 57212227502; 55781382000; 14033766000","A hybrid multi-agent metaheuristic for the offshore wind farm cable routing problem","2024","Expert Systems with Applications","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198030983&doi=10.1016%2fj.eswa.2024.124668&partnerID=40&md5=f9ccd3e17fe41e36cdbcb3c55c3158e5"
"Potapov A.M.; Chen T.-W.; Striuchkova A.V.; Alatalo J.M.; Alexandre D.; Arbea J.; Ashton T.; Ashwood F.; Babenko A.B.; Bandyopadhyaya I.; Baretta C.R.D.M.; Baretta D.; Barnes A.D.; Bellini B.C.; Bendjaballah M.; Berg M.P.; Bernava V.; Bokhorst S.; Bokova A.I.; Bolger T.; Bouchard M.; Brito R.A.; Buchori D.; Castaño-Meneses G.; Chauvat M.; Chomel M.; Chow Y.; Chown S.L.; Classen A.T.; Cortet J.; Čuchta P.; de la Pedrosa A.M.; De Lima E.C.A.; Deharveng L.E.; Doblas Miranda E.; Drescher J.; Eisenhauer N.; Ellers J.; Ferlian O.; Ferreira S.S.D.; Ferreira A.S.; Fiera C.; Filser J.; Franken O.; Fujii S.; Koudji E.G.; Gao M.; Gendreau-Berthiaume B.; Gers C.; Greve M.; Hamra-Kroua S.; Handa I.T.; Hasegawa M.; Heiniger C.; Hishi T.; Holmstrup M.; Homet P.; Høye T.T.; Ivask M.; Jacques B.; Janion-Scheepers C.; Jochum M.; Joimel S.; Jorge B.C.S.; Juceviča E.; Kapinga E.M.; Kováč Ľ.; Krab E.J.; Krogh P.H.; Kuu A.; Kuznetsova N.; Lam W.N.; Lin D.; Lindo Z.; Liu A.W.P.; Lu J.-Z.; Luciáñez M.J.; Marx M.T.; Mawan A.; McCary M.A.; Minor M.A.; Mitchell G.I.; Moreno D.; Nakamori T.; Negri I.; Nielsen U.N.; Ochoa-Hueso R.; Oliveira Filho L.C.I.; Palacios-Vargas J.G.; Pollierer M.M.; Ponge J.-F.; Potapov M.B.; Querner P.; Rai B.; Raschmanová N.; Rashid M.I.; Raymond-Léonard L.J.; Reis A.S.; Ross G.M.; Rousseau L.; Russell D.J.; Saifutdinov R.A.; Salmon S.; Santonja M.; Saraeva A.K.; Sayer E.J.; Scheunemann N.; Scholz C.; Seeber J.; Shaw P.; Shveenkova Y.B.; Slade E.M.; Stebaeva S.; Sterzynska M.; Sun X.; Susanti W.I.; Taskaeva A.A.; Tay L.S.; Thakur M.P.; Treasure A.M.; Tsiafouli M.; Twala M.N.; Uvarov A.V.; Venier L.A.; Widenfalk L.A.; Widyastuti R.; Winck B.; Winkler D.; Wu D.; Xie Z.; Yin R.; Zampaulo R.A.; Zeppelini D.; Zhang B.; Zoughailech A.; Ashford O.; Klauberg-Filho O.; Scheu S.","Potapov, Anton M. (55938728100); Chen, Ting-Wen (57193698734); Striuchkova, Anastasia V. (58070747700); Alatalo, Juha M. (6602792035); Alexandre, Douglas (57209076674); Arbea, Javier (15062499200); Ashton, Thomas (58799783400); Ashwood, Frank (55883248100); Babenko, Anatoly B. (56277787700); Bandyopadhyaya, Ipsa (15721796800); Baretta, Carolina Riviera Duarte Maluche (56394554500); Baretta, Dilmar (21740569400); Barnes, Andrew D. (56018990300); Bellini, Bruno C. (14021072200); Bendjaballah, Mohamed (57203957347); Berg, Matty P. (7202002538); Bernava, Verónica (58094990400); Bokhorst, Stef (55960549500); Bokova, Anna I. (23007371200); Bolger, Thomas (7005694382); Bouchard, Mathieu (7102386639); Brito, Roniere A. (55744840100); Buchori, Damayanti (18041564100); Castaño-Meneses, Gabriela (6506001293); Chauvat, Matthieu (6507897185); Chomel, Mathilde (55553096400); Chow, Yasuko (58799857400); Chown, Steven L. (7006383635); Classen, Aimee T. (7003556841); Cortet, Jérôme (6602945066); Čuchta, Peter (54956577100); de la Pedrosa, Ana Manuela (58799783500); De Lima, Estevam C. A. (56021432500); Deharveng, Louis E. (7003883527); Doblas Miranda, Enrique (16309179300); Drescher, Jochen (57188988180); Eisenhauer, Nico (22939857600); Ellers, Jacintha (55881063900); Ferlian, Olga (55220119500); Ferreira, Susana S. D. (57204801583); Ferreira, Aila S. (57199147753); Fiera, Cristina (15055513400); Filser, Juliane (7005705268); Franken, Oscar (25633559500); Fujii, Saori (23492182000); Koudji, Essivi Gagnon (58095064800); Gao, Meixiang (25633773500); Gendreau-Berthiaume, Benoit (55355492200); Gers, Charles (6602649271); Greve, Michelle (8734825200); Hamra-Kroua, Salah (32367696700); Handa, I. Tanya (8419046500); Hasegawa, Motohiro (7403099684); Heiniger, Charlène (56046688400); Hishi, Takuo (6701650140); Holmstrup, Martin (7004042152); Homet, Pablo (57201677186); Høye, Toke T. (8849764400); Ivask, Mari (6505892300); Jacques, Bob (58799563800); Janion-Scheepers, Charlene (57221644029); Jochum, Malte (55364388800); Joimel, Sophie (55389178700); Jorge, Bruna Claudia S. (57358014100); Juceviča, Edite (6506555453); Kapinga, Esther M. (58252042700); Kováč, Ľubomír (56262736800); Krab, Eveline J. (23469675300); Krogh, Paul Henning (7006816899); Kuu, Annely (16042690400); Kuznetsova, Natalya (55533946900); Lam, Weng Ngai (57193890071); Lin, Dunmei (55441530100); Lindo, Zoë (10840698100); Liu, Amy W. P. (58184721600); Lu, Jing-Zhong (57221347826); Luciáñez, María José (6507418684); Marx, Michael T. (35590359700); Mawan, Amanda (57947451600); McCary, Matthew A. (56708759000); Minor, Maria A. (7005043951); Mitchell, Grace I. (58767923400); Moreno, David (58799563900); Nakamori, Taizo (8643310800); Negri, Ilaria (6602268885); Nielsen, Uffe N. (11241113100); Ochoa-Hueso, Raúl (35746886300); Oliveira Filho, Luís Carlos I. (58799709500); Palacios-Vargas, José G. (56002706400); Pollierer, Melanie M. (16679780800); Ponge, Jean-François (7005970209); Potapov, Mikhail B. (7006365120); Querner, Pascal (36118433500); Rai, Bibishan (58799635200); Raschmanová, Natália (24779781800); Rashid, Muhammad Imtiaz (55314836000); Raymond-Léonard, Laura J. (57202333131); Reis, Aline S. (58799783600); Ross, Giles M. (57218551829); Rousseau, Laurent (55543746200); Russell, David J. (56803135600); Saifutdinov, Ruslan A. (57189523472); Salmon, Sandrine (7101746086); Santonja, Mathieu (55552737300); Saraeva, Anna K. (56600655600); Sayer, Emma J. (13410171300); Scheunemann, Nicole (36174287600); Scholz, Cornelia (57766537600); Seeber, Julia (8617796400); Shaw, Peter (7401651685); Shveenkova, Yulia B. (6506677187); Slade, Eleanor M. (24172206700); Stebaeva, Sophya (6506129636); Sterzynska, Maria (6505970978); Sun, Xin (55727836200); Susanti, Winda Ika (57210586264); Taskaeva, Anastasia A. (8640042700); Tay, Li Si (58799932700); Thakur, Madhav P. (55994126400); Treasure, Anne M (36454165500); Tsiafouli, Maria (6506882955); Twala, Mthokozisi N. (57226818988); Uvarov, Alexei V. (7101763913); Venier, Lisa A. (6604010480); Widenfalk, Lina A. (56460150700); Widyastuti, Rahayu (56638637700); Winck, Bruna (56301024900); Winkler, Daniel (35850216900); Wu, Donghui (12806803800); Xie, Zhijing (57193720832); Yin, Rui (58994890700); Zampaulo, Robson A. (58799709600); Zeppelini, Douglas (7801391345); Zhang, Bing (57194606565); Zoughailech, Abdelmalek (56676441600); Ashford, Oliver (57190095538); Klauberg-Filho, Osmar (14044878400); Scheu, Stefan (7006140205)","55938728100; 57193698734; 58070747700; 6602792035; 57209076674; 15062499200; 58799783400; 55883248100; 56277787700; 15721796800; 56394554500; 21740569400; 56018990300; 14021072200; 57203957347; 7202002538; 58094990400; 55960549500; 23007371200; 7005694382; 7102386639; 55744840100; 18041564100; 6506001293; 6507897185; 55553096400; 58799857400; 7006383635; 7003556841; 6602945066; 54956577100; 58799783500; 56021432500; 7003883527; 16309179300; 57188988180; 22939857600; 55881063900; 55220119500; 57204801583; 57199147753; 15055513400; 7005705268; 25633559500; 23492182000; 58095064800; 25633773500; 55355492200; 6602649271; 8734825200; 32367696700; 8419046500; 7403099684; 56046688400; 6701650140; 7004042152; 57201677186; 8849764400; 6505892300; 58799563800; 57221644029; 55364388800; 55389178700; 57358014100; 6506555453; 58252042700; 56262736800; 23469675300; 7006816899; 16042690400; 55533946900; 57193890071; 55441530100; 10840698100; 58184721600; 57221347826; 6507418684; 35590359700; 57947451600; 56708759000; 7005043951; 58767923400; 58799563900; 8643310800; 6602268885; 11241113100; 35746886300; 58799709500; 56002706400; 16679780800; 7005970209; 7006365120; 36118433500; 58799635200; 24779781800; 55314836000; 57202333131; 58799783600; 57218551829; 55543746200; 56803135600; 57189523472; 7101746086; 55552737300; 56600655600; 13410171300; 36174287600; 57766537600; 8617796400; 7401651685; 6506677187; 24172206700; 6506129636; 6505970978; 55727836200; 57210586264; 8640042700; 58799932700; 55994126400; 36454165500; 6506882955; 57226818988; 7101763913; 6604010480; 56460150700; 56638637700; 56301024900; 35850216900; 12806803800; 57193720832; 58994890700; 58799709600; 7801391345; 57194606565; 56676441600; 57190095538; 14044878400; 7006140205","Global fine-resolution data on springtail abundance and community structure","2024","Scientific Data","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181767009&doi=10.1038%2fs41597-023-02784-x&partnerID=40&md5=878fea2e709890ad80926affe5d30874"
"Coutinho M.G.F.; Câmara G.B.M.; Barbosa R.D.M.; Fernandes M.A.C.","Coutinho, Maria G. F. (57208260908); Câmara, Gabriel B. M. (57223853600); Barbosa, Raquel de M. (56649607000); Fernandes, Marcelo A. C. (7202947679)","57208260908; 57223853600; 56649607000; 7202947679","Utilizing chaos game representation for enhanced classification of SARS-CoV-2 variants with stacked sparse autoencoders","2024","Neural Computing and Applications","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200906142&doi=10.1007%2fs00521-024-10278-z&partnerID=40&md5=4043808ad467b575f02693b80241c245"
"Palaniappan K.; Hanumanthu J.R.; Singh S.; Prabha K.A.; Murthy S.B.; dos Santos T.F.; da Silva Santos C.M.","Palaniappan, Kumarappan (59349605300); Hanumanthu, Jeevan Rao (59349722200); Singh, Sanjay (56999346700); Prabha, Kolluri Aruna (59350183600); Murthy, Soppari Bhanu (57205058180); dos Santos, Thiago Felix (59312474400); da Silva Santos, Caroliny Minely (57205575255)","59349605300; 59349722200; 56999346700; 59350183600; 57205058180; 59312474400; 57205575255","Effects of Geographical Conditions on the Physiochemical Properties of Natural Fiber Extracted from the Root of Prosopis juliflora","2024","Applied Science and Engineering Progress","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205338571&doi=10.14416%2fj.asep.2024.09.008&partnerID=40&md5=0c7118939bbd728f7e4876d53525d730"
"Dias S.; Queiroz K.; Araujo A.","Dias, Samaherni (16177129200); Queiroz, Kurios (24831035000); Araujo, Aldayr (14015206500)","16177129200; 24831035000; 14015206500","Compartmental Nonlinear Epidemic Disease Model with Mixed Behavior","2024","Journal of Control, Automation and Electrical Systems","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197923193&doi=10.1007%2fs40313-024-01102-z&partnerID=40&md5=d8d32e6b741daceb8ef66bba3c566b83"
